name,kampong,mukim,district,longitude,latitude,officiated,used,completed,capacity,estimated_cost,type,category,notes
Masjid Pengiran Muda Abdul Wakeel,Kg. Kiudang,Mukim Kiudang,Tutong,4.751903033,114.7388349,,2015,2015,"1,500",,masjid,Masjid Kampong,
Masjid Kg. Kupang,Kg. Kupang,Mukim Keriam,Tutong,4.843133499,114.7940176,1984,,1982,500,"385,000.00",masjid,Masjid Kampong,
Masjid Kg. Lamunin,Kg. Lamunin,Mukim Lamunin,Tutong,4.692863845,114.7233686,1979,,1978,250,,masjid,Masjid Kampong,not in KHEU website
Masjid Kg. Layong,Kg. Layong,Mukim Lamunin,Tutong,4.690968637,114.6773784,1990,,1989,300,"500,000.00",masjid,Masjid Kampong,
Masjid Kg. Menengah,Kg. Menengah Lamunin,Mukim Lamunin,Tutong,4.65751236,114.7256615,1990,,1990,230,"500,000.00",masjid,Masjid Kampong,
Masjid Kg. Penabai,Kg. Penabai,Mukim Pekan Tutong,Tutong,4.790410573,114.6189298,,1993,1993,200,"225,000.00",masjid,Masjid Kampong,
Masjid Kg. Penanjong,Kg. Penanjong,Mukim Pekan Tutong,Tutong,4.835457336,114.6738215,1984,,1983,500,"686,423.00",masjid,Masjid Kampong,
Masjid Kg. Penapar,Kg. Penapar,Mukim Tanjong Maya,Tutong,4.721860348,114.6671401,1991,1991,1990,200,"400,000.00",masjid,Masjid Kampong,
Masjid Pengiran Anak Haji Mohammed Alam,Kg. Sengkarai,Mukim Pekan Tutong,Tutong,4.814082283,114.649142,2017,2017,2017,1000,"3,833,535.00",masjid,Masjid Kampong,
Masjid Kg. Sinaut,Kg. Sinaut,Mukim Keriam,Tutong,4.816542473,114.7452982,1979,1979,1979,500,"181,000.00",masjid,Masjid Kampong,
Masjid Pengiran Anak Isteri Pengiran Anak Sarah,Kg. Sungai Kelugos,Mukim Keriam,Tutong,4.804916048,114.7645448,,2005,2005,700,,masjid,Masjid Kampong,
Masjid Kg. Tanjong Maya,Kg. Tanjong Maya,Mukim Tanjong Maya,Tutong,4.749468567,114.6645853,1973,,1973,400,"292,000.00",masjid,Masjid Kampong,
Masjid Kg. Telisai,Kg. Telisai,Mukim Telisai,Tutong,4.73529691,114.5640206,1984,1984,1984,350,"380,000.00",masjid,Masjid Kampong,
Masjid Kg. Bukit Sawat,Kg. Bukit Sawat,Mukim Bukit Sawat,Belait,4.523666417,114.5497548,,,1992,120,,masjid,Masjid Kampong,
Masjid Kg. Labi,Kg. Labi,Mukim Labi,Belait,4.418809736,114.4651403,1979,,1977,200,"156,000.00",masjid,Masjid Kampong,
Masjid STKRJ Lorong 3 Selatan Seria,Kg. Lorong Tiga Selatan,Mukim Seria,Belait,4.600503866,114.3279154,,,,"1,000",,masjid,Masjid Kampong,
Masjid Kg. Sungai Liang,Kg. Sungai Liang,Mukim Liang,Belait,4.677899354,114.4960731,1980,,1980,"1,000","269,533.03",masjid,Masjid Kampong,
Masjid Al-Mashor,Kg. Sungai Mau,Mukim Bukit Sawat,Belait,4.555077481,114.4894398,1992,,1992,300,"162,000.00",masjid,Masjid Kampong,
Masjid Jefri Bolkiah,Kg. Batong,Mukim Pangkalan Batu,Brunei Muara,4.82010115,114.8158109,2013,,2013,1000,"2,055,567.06",masjid,Masjid Kampong,
Masjid Kg. Bengkurong,Kg. Bengkurong,Mukim Kilanas,Brunei Muara,4.847421231,114.8709516,1988,1986,1991,800,"430,000.00",masjid,Masjid Kampong,
Masjid Kg. Beribi,Kg. Beribi,Mukim Gadong B,Brunei Muara,4.887688296,114.9005894,1984,,,"1,400",,masjid,Masjid Kampong,
Masjid Yayasan Sultan Haji Hassanal Bolkiah,Kg. Bolkiah A,Mukim Sungai Kebun,Brunei Muara,4.852980994,114.9554916,,,,700,,masjid,Masjid Kampong,
Masjid Pehin Datu Imam Haji Abdul Mokti,Kg. Burong Pingai Ayer,Mukim Burong Pingai Ayer,Brunei Muara,4.87752812,114.9341918,1981,1981,1981,350,"100,000.00",masjid,Masjid Kampong,
Masjid As-Salaam,Kg. Junjongan,Mukim Pangkalan Batu,Brunei Muara,4.810461241,114.8544319,2024,2024,2024,1600,"5,200,000.00",masjid,Masjid Kampong,
Masjid Kg. Kasat,Kg. Kasat,Mukim Lumapas,Brunei Muara,4.823257369,114.947829,1980,1980,1980,500,"250,000.00",masjid,Masjid Kampong,
Masjid Paduka Seri Begawan Sultan Omar Ali Saifuddien,Kg. Katimahar,Mukim Sengkurong,Brunei Muara,4.86780404,114.8142323,,,,500,,masjid,Masjid Kampong,
Masjid Pengiran Muda 'Abdul Malik,Kg. Katok,Mukim Gadong A,Brunei Muara,4.921701775,114.8896831,2012,,2012,"1,000","2,942,493.00",masjid,Masjid Kampong,
Masjid Kg. Kilanas,Kg. Kilanas,Mukim Kilanas,Brunei Muara,4.870309246,114.8627749,,1968,,800,,masjid,Masjid Kampong,
Masjid Pehin Khatib Abdullah,Kg. Kulapis,Mukim Sengkurong,Brunei Muara,4.851669088,114.8233563,2017,,,700,,masjid,Masjid Kampong,
Masjid Suri Seri Begawan Raja Pengiran Anak Damit,Kg. Madang,Mukim Berakas B,Brunei Muara,4.954399012,114.9550937,2014,,2014,"2,400","4,851,135.20",masjid,Masjid Kampong,
Masjid Kg. Masin,Kg. Masin,Mukim Pangkalan Batu,Brunei Muara,4.829774201,114.8454507,1987,1987,1987,500,,masjid,Masjid Kampong,
Masjid Ash-Shaliheen,Kg. Melabau,Mukim Kianggeh,Brunei Muara,4.918114746,114.9359353,2012,,2012,700,,masjid,Masjid Kampong,
Masjid Kg. Mentiri,Kg. Mentiri,Mukim Mentiri,Brunei Muara,4.968078858,115.0203075,1984,,1983,600,"350,000.00",masjid,Masjid Kampong,
Masjid Kg. Menunggol,Kg. Menunggul,Mukim Kota Batu,Brunei Muara,4.863767461,114.9784275,1980,,1979,300,"90,000.00",masjid,Masjid Kampong,
Masjid Pengiran Muda 'Abdul Mateen,Kg. Mulaut,Mukim Sengkurong,Brunei Muara,4.86382409,114.8452793,2012,,2012,"1,100","3,577,667.84",masjid,Masjid Kampong,
Masjid Kg. Pengkalan Batu,Kg. Pangkalan Batu,Mukim Pangkalan Batu,Brunei Muara,4.799161082,114.8278465,1984,,,"1,200",,masjid,Masjid Kampong,
Masjid Kg. Pelambayan,Kg. Pelambaian,Mukim Kota Batu,Brunei Muara,4.886049462,114.9730513,1984,,1984,600,"450,000.00",masjid,Masjid Kampong,
Masjid Kg. Perpindahan Mata-Mata,Kg. Perpindahan Mata-Mata,Mukim Gadong B,Brunei Muara,4.900515553,114.8881167,1984,,1984,500,,masjid,Masjid Kampong,
Masjid Kg. Pudak,Kg. Pudak,Mukim Kota Batu,Brunei Muara,4.898741426,115.0020988,1974,1974,1973,300,"20,000.00",masjid,Masjid Kampong,
